stage,idx,level,days,delivered,final_pass,original_failure,unified_failure,run_dir
A,1,easy,3,True,False,,budget/minimum_nights,runs\20260904T072500832254Z_deepseek-chat_validation_001
A,2,easy,3,True,False,,route/transportation,runs\20260904T072505595555Z_deepseek-chat_validation_002
A,3,easy,3,True,False,,budget/minimum_nights,runs\20260904T072508002444Z_deepseek-chat_validation_003
A,4,easy,3,True,True,,success,runs\20260904T072510818960Z_deepseek-chat_validation_004
A,5,easy,3,True,False,,budget/minimum_nights,runs\20260904T072513441547Z_deepseek-chat_validation_005
A,6,easy,3,True,False,,route/transportation,runs\20260904T072516802711Z_deepseek-chat_validation_006
A,7,easy,3,True,False,,diversity/preference/room_rule,runs\20260904T072519776507Z_deepseek-chat_validation_007
A,8,easy,3,True,True,,success,runs\20260904T072523111703Z_deepseek-chat_validation_008
A,9,easy,3,True,False,,route/transportation,runs\20260904T072526329047Z_deepseek-chat_validation_009
A,10,easy,3,True,False,,budget/minimum_nights,runs\20260904T072530206884Z_deepseek-chat_validation_010
A,11,easy,3,True,False,,budget/minimum_nights,runs\20260904T072533577421Z_deepseek-chat_validation_011
A,12,easy,3,True,True,,success,runs\20260904T072537904936Z_deepseek-chat_validation_012
A,13,easy,3,True,True,,success,runs\20260904T072541039657Z_deepseek-chat_validation_013
A,14,easy,3,True,False,,budget/minimum_nights,runs\20260904T072543917629Z_deepseek-chat_validation_014
A,15,easy,3,True,True,,success,runs\20260904T072546758012Z_deepseek-chat_validation_015
A,16,easy,3,True,True,,success,runs\20260904T072549351461Z_deepseek-chat_validation_016
A,17,easy,3,True,False,,diversity/preference/room_rule,runs\20260904T072552149736Z_deepseek-chat_validation_017
A,18,easy,3,True,False,,budget/minimum_nights,runs\20260904T072556288649Z_deepseek-chat_validation_018
A,19,easy,3,True,True,,success,runs\20260904T072559613383Z_deepseek-chat_validation_019
A,20,easy,3,True,False,,budget/minimum_nights,runs\20260904T072602528798Z_deepseek-chat_validation_020
A,21,easy,5,True,False,,budget/minimum_nights,runs\20260904T072605828633Z_deepseek-chat_validation_021
A,22,easy,5,True,False,,diversity/preference/room_rule,runs\20260904T072610447094Z_deepseek-chat_validation_022
A,23,easy,5,True,True,,success,runs\20260904T072615162093Z_deepseek-chat_validation_023
A,24,easy,5,True,False,,route/transportation,runs\20260904T072619266295Z_deepseek-chat_validation_024
A,25,easy,5,True,False,,route/transportation,runs\20260904T072623975284Z_deepseek-chat_validation_025
A,26,easy,5,True,False,,route/transportation,runs\20260904T072630217873Z_deepseek-chat_validation_026
