baseline,sample_key,run_id,day,activity_index,type,entity,status,evidence_ref,field_checks
B,easy:m20241028164642633824,ct-b-smoke-20260907T120725Z-m20241028164642633824,1,0,airplane,FL248,retrieved_and_used_consistently,tool-7-row-3,"{""start"": true, ""end"": true, ""start_time"": true, ""end_time"": true, ""price"": true}"
B,easy:m20241028164642633824,ct-b-smoke-20260907T120725Z-m20241028164642633824,1,1,accommodation,上海凯宾斯基大酒店,retrieved_and_used_consistently,tool-12-row-2,"{""price"": true, ""room_type"": true}"
B,easy:m20241028164642633824,ct-b-smoke-20260907T120725Z-m20241028164642633824,1,2,attraction,外滩,retrieved_and_used_consistently,tool-10-row-1,"{""price"": true}"
B,easy:m20241028164642633824,ct-b-smoke-20260907T120725Z-m20241028164642633824,1,3,lunch,上海东方滨江大酒店(国际会议中心)·鱼香阁,retrieved_and_used_consistently,tool-14-row-1,"{""price"": true}"
B,easy:m20241028164642633824,ct-b-smoke-20260907T120725Z-m20241028164642633824,1,4,attraction,南京路步行街,retrieved_and_used_consistently,tool-9-row-1,"{""price"": true}"
B,easy:m20241028164642633824,ct-b-smoke-20260907T120725Z-m20241028164642633824,1,5,dinner,The Captain船长餐厅&酒吧,retrieved_and_used_consistently,tool-6-row-4,"{""price"": true}"
B,easy:m20241028164642633824,ct-b-smoke-20260907T120725Z-m20241028164642633824,1,6,attraction,外滩,retrieved_and_used_consistently,tool-10-row-1,"{""price"": true}"
B,easy:m20241028164642633824,ct-b-smoke-20260907T120725Z-m20241028164642633824,1,7,accommodation,上海凯宾斯基大酒店,retrieved_and_used_consistently,tool-12-row-2,"{""price"": true, ""room_type"": true}"
B,easy:m20241028164642633824,ct-b-smoke-20260907T120725Z-m20241028164642633824,2,0,breakfast,上海凯宾斯基大酒店,retrieved_but_used_inconsistently,tool-12-row-2,"{""price"": false}"
B,easy:m20241028164642633824,ct-b-smoke-20260907T120725Z-m20241028164642633824,2,1,attraction,田子坊,retrieved_and_used_consistently,tool-9-row-4,"{""price"": true}"
B,easy:m20241028164642633824,ct-b-smoke-20260907T120725Z-m20241028164642633824,2,2,lunch,壹泰Ethai·朝天椒·泰焗(新天地店),retrieved_and_used_consistently,tool-21-row-1,"{""price"": true}"
B,easy:m20241028164642633824,ct-b-smoke-20260907T120725Z-m20241028164642633824,2,3,attraction,新天地,retrieved_and_used_consistently,tool-9-row-7,"{""price"": true}"
B,easy:m20241028164642633824,ct-b-smoke-20260907T120725Z-m20241028164642633824,2,4,attraction,思南路,retrieved_and_used_consistently,tool-20-row-4,"{""price"": true}"
B,easy:m20241028164642633824,ct-b-smoke-20260907T120725Z-m20241028164642633824,2,5,dinner,Speak Low彼楼,retrieved_and_used_consistently,tool-6-row-6,"{""price"": true}"
