stage,constraint,pass,total,rate
A,is_reasonable_visiting_city,160,171,0.935672514619883
A,is_valid_restaurants,107,171,0.6257309941520468
A,is_valid_attractions,171,171,1.0
A,is_valid_accommodation,92,171,0.5380116959064327
A,is_valid_transportation,127,171,0.7426900584795322
A,is_valid_information_in_current_city,171,171,1.0
A,is_valid_information_in_sandbox,162,171,0.9473684210526315
A,is_not_absent,158,171,0.9239766081871345
A,valid_cost,108,149,0.7248322147651006
A,valid_room_rule,50,64,0.78125
A,valid_room_type,56,57,0.9824561403508771
A,valid_cuisine,33,37,0.8918918918918919
A,valid_transportation,45,45,1.0
B,is_reasonable_visiting_city,55,63,0.873015873015873
B,is_valid_restaurants,47,63,0.746031746031746
B,is_valid_attractions,63,63,1.0
B,is_valid_accommodation,62,63,0.9841269841269841
B,is_valid_transportation,62,63,0.9841269841269841
B,is_valid_information_in_current_city,60,63,0.9523809523809523
B,is_valid_information_in_sandbox,58,63,0.9206349206349206
B,is_not_absent,56,63,0.8888888888888888
B,valid_cost,42,51,0.8235294117647058
B,valid_room_type,16,17,0.9411764705882353
B,valid_cuisine,11,11,1.0
B,valid_room_rule,19,19,1.0
B,valid_transportation,16,16,1.0
C,is_reasonable_visiting_city,68,72,0.9444444444444444
C,is_valid_restaurants,50,72,0.6944444444444444
C,is_valid_attractions,72,72,1.0
C,is_valid_accommodation,71,72,0.9861111111111112
C,is_valid_transportation,68,72,0.9444444444444444
C,is_valid_information_in_current_city,67,72,0.9305555555555556
C,is_valid_information_in_sandbox,69,72,0.9583333333333334
C,is_not_absent,66,72,0.9166666666666666
C,valid_cost,46,63,0.7301587301587301
C,valid_room_type,24,27,0.8888888888888888
C,valid_cuisine,19,19,1.0
C,valid_room_rule,25,26,0.9615384615384616
C,valid_transportation,19,19,1.0
D,is_reasonable_visiting_city,69,75,0.92
D,is_valid_restaurants,52,75,0.6933333333333334
D,is_valid_attractions,75,75,1.0
D,is_valid_accommodation,69,75,0.92
D,is_valid_transportation,73,75,0.9733333333333334
D,is_valid_information_in_current_city,68,75,0.9066666666666666
D,is_valid_information_in_sandbox,70,75,0.9333333333333333
D,is_not_absent,70,75,0.9333333333333333
D,valid_cost,46,66,0.696969696969697
D,valid_room_rule,25,26,0.9615384615384616
D,valid_room_type,25,26,0.9615384615384616
D,valid_cuisine,20,20,1.0
D,valid_transportation,21,21,1.0
