stage,category,count,rate
A,delivery/agent_control,9,0.05
A,tool_execution/acquisition,0,0.0
A,evidence_coverage,0,0.0
A,grounding/utilization,2,0.011111111111111112
A,route/transportation,53,0.29444444444444445
A,budget/minimum_nights,74,0.4111111111111111
A,diversity/preference/room_rule,17,0.09444444444444444
A,verifier/replan,0,0.0
A,success,25,0.1388888888888889
B,delivery/agent_control,117,0.65
B,tool_execution/acquisition,1,0.005555555555555556
B,evidence_coverage,16,0.08888888888888889
B,grounding/utilization,5,0.027777777777777776
B,route/transportation,5,0.027777777777777776
B,budget/minimum_nights,3,0.016666666666666666
B,diversity/preference/room_rule,5,0.027777777777777776
B,verifier/replan,0,0.0
B,success,28,0.15555555555555556
C,delivery/agent_control,108,0.6
C,tool_execution/acquisition,0,0.0
C,evidence_coverage,29,0.16111111111111112
C,grounding/utilization,2,0.011111111111111112
C,route/transportation,3,0.016666666666666666
C,budget/minimum_nights,6,0.03333333333333333
C,diversity/preference/room_rule,3,0.016666666666666666
C,verifier/replan,0,0.0
C,success,29,0.16111111111111112
D,delivery/agent_control,105,0.5833333333333334
D,tool_execution/acquisition,0,0.0
D,evidence_coverage,0,0.0
D,grounding/utilization,0,0.0
D,route/transportation,0,0.0
D,budget/minimum_nights,0,0.0
D,diversity/preference/room_rule,0,0.0
D,verifier/replan,46,0.25555555555555554
D,success,29,0.16111111111111112
