stage,group,total,delivery_rate,commonsense_macro_pass_rate,hard_macro_pass_rate,final_pass_rate
A,cell:easy:3,20,1.0,0.55,0.6,0.35
A,cell:easy:5,20,0.95,0.2,0.85,0.2
A,cell:easy:7,20,0.85,0.05,0.7,0.05
A,cell:medium:3,20,1.0,0.45,0.5,0.2
A,cell:medium:5,20,1.0,0.2,0.6,0.05
A,cell:medium:7,20,0.9,0.05,0.55,0.05
A,cell:hard:3,20,0.95,0.4,0.25,0.2
A,cell:hard:5,20,0.9,0.2,0.55,0.15
A,cell:hard:7,20,1.0,0.15,0.25,0.0
B,cell:easy:3,20,0.8,0.65,0.65,0.55
B,cell:easy:5,20,0.4,0.2,0.3,0.2
B,cell:easy:7,20,0.05,0.05,0.05,0.05
B,cell:medium:3,20,0.65,0.35,0.4,0.25
B,cell:medium:5,20,0.2,0.1,0.1,0.1
B,cell:medium:7,20,0.05,0.0,0.0,0.0
B,cell:hard:3,20,0.6,0.4,0.35,0.2
B,cell:hard:5,20,0.15,0.05,0.05,0.0
B,cell:hard:7,20,0.25,0.05,0.15,0.05
C,cell:easy:3,20,0.65,0.45,0.5,0.35
C,cell:easy:5,20,0.2,0.15,0.2,0.15
C,cell:easy:7,20,0.25,0.0,0.05,0.0
C,cell:medium:3,20,0.85,0.6,0.55,0.45
C,cell:medium:5,20,0.3,0.05,0.15,0.05
C,cell:medium:7,20,0.15,0.0,0.05,0.0
C,cell:hard:3,20,0.65,0.55,0.4,0.35
C,cell:hard:5,20,0.3,0.1,0.15,0.05
C,cell:hard:7,20,0.25,0.05,0.15,0.05
D,cell:easy:3,20,0.65,0.45,0.55,0.4
D,cell:easy:5,20,0.45,0.2,0.4,0.15
D,cell:easy:7,20,0.05,0.05,0.0,0.0
D,cell:medium:3,20,0.7,0.5,0.35,0.35
D,cell:medium:5,20,0.3,0.15,0.1,0.1
D,cell:medium:7,20,0.15,0.0,0.05,0.0
D,cell:hard:3,20,0.7,0.4,0.45,0.25
D,cell:hard:5,20,0.35,0.15,0.15,0.1
D,cell:hard:7,20,0.4,0.1,0.25,0.1
