stage,group,total,delivery_rate,commonsense_macro_pass_rate,hard_macro_pass_rate,final_pass_rate
A,all,180,0.95,0.25,0.5388888888888889,0.1388888888888889
A,level:easy,60,0.9333333333333333,0.26666666666666666,0.7166666666666667,0.2
A,days:3,60,0.9833333333333333,0.4666666666666667,0.45,0.25
A,cell:easy:3,20,1.0,0.55,0.6,0.35
A,days:5,60,0.95,0.2,0.6666666666666666,0.13333333333333333
A,cell:easy:5,20,0.95,0.2,0.85,0.2
A,days:7,60,0.9166666666666666,0.08333333333333333,0.5,0.03333333333333333
A,cell:easy:7,20,0.85,0.05,0.7,0.05
A,level:medium,60,0.9666666666666667,0.23333333333333334,0.55,0.1
A,cell:medium:3,20,1.0,0.45,0.5,0.2
A,cell:medium:5,20,1.0,0.2,0.6,0.05
A,cell:medium:7,20,0.9,0.05,0.55,0.05
A,level:hard,60,0.95,0.25,0.35,0.11666666666666667
A,cell:hard:3,20,0.95,0.4,0.25,0.2
A,cell:hard:5,20,0.9,0.2,0.55,0.15
A,cell:hard:7,20,1.0,0.15,0.25,0.0
B,all,180,0.35,0.20555555555555555,0.22777777777777777,0.15555555555555556
B,level:easy,60,0.4166666666666667,0.3,0.3333333333333333,0.26666666666666666
B,days:3,60,0.6833333333333333,0.4666666666666667,0.4666666666666667,0.3333333333333333
B,cell:easy:3,20,0.8,0.65,0.65,0.55
B,days:5,60,0.25,0.11666666666666667,0.15,0.1
B,cell:easy:5,20,0.4,0.2,0.3,0.2
B,days:7,60,0.11666666666666667,0.03333333333333333,0.06666666666666667,0.03333333333333333
B,cell:easy:7,20,0.05,0.05,0.05,0.05
B,level:medium,60,0.3,0.15,0.16666666666666666,0.11666666666666667
B,cell:medium:3,20,0.65,0.35,0.4,0.25
B,cell:medium:5,20,0.2,0.1,0.1,0.1
B,cell:medium:7,20,0.05,0.0,0.0,0.0
B,level:hard,60,0.3333333333333333,0.16666666666666666,0.18333333333333332,0.08333333333333333
B,cell:hard:3,20,0.6,0.4,0.35,0.2
B,cell:hard:5,20,0.15,0.05,0.05,0.0
B,cell:hard:7,20,0.25,0.05,0.15,0.05
C,all,180,0.4,0.21666666666666667,0.24444444444444444,0.16111111111111112
C,level:easy,60,0.36666666666666664,0.2,0.25,0.16666666666666666
C,days:3,60,0.7166666666666667,0.5333333333333333,0.48333333333333334,0.38333333333333336
C,cell:easy:3,20,0.65,0.45,0.5,0.35
C,days:5,60,0.26666666666666666,0.1,0.16666666666666666,0.08333333333333333
C,cell:easy:5,20,0.2,0.15,0.2,0.15
C,days:7,60,0.21666666666666667,0.016666666666666666,0.08333333333333333,0.016666666666666666
C,cell:easy:7,20,0.25,0.0,0.05,0.0
C,level:medium,60,0.43333333333333335,0.21666666666666667,0.25,0.16666666666666666
C,cell:medium:3,20,0.85,0.6,0.55,0.45
C,cell:medium:5,20,0.3,0.05,0.15,0.05
C,cell:medium:7,20,0.15,0.0,0.05,0.0
C,level:hard,60,0.4,0.23333333333333334,0.23333333333333334,0.15
C,cell:hard:3,20,0.65,0.55,0.4,0.35
C,cell:hard:5,20,0.3,0.1,0.15,0.05
C,cell:hard:7,20,0.25,0.05,0.15,0.05
D,all,180,0.4166666666666667,0.2222222222222222,0.25555555555555554,0.16111111111111112
D,level:easy,60,0.38333333333333336,0.23333333333333334,0.31666666666666665,0.18333333333333332
D,days:3,60,0.6833333333333333,0.45,0.45,0.3333333333333333
D,cell:easy:3,20,0.65,0.45,0.55,0.4
D,days:5,60,0.36666666666666664,0.16666666666666666,0.21666666666666667,0.11666666666666667
D,cell:easy:5,20,0.45,0.2,0.4,0.15
D,days:7,60,0.2,0.05,0.1,0.03333333333333333
D,cell:easy:7,20,0.05,0.05,0.0,0.0
D,level:medium,60,0.38333333333333336,0.21666666666666667,0.16666666666666666,0.15
D,cell:medium:3,20,0.7,0.5,0.35,0.35
D,cell:medium:5,20,0.3,0.15,0.1,0.1
D,cell:medium:7,20,0.15,0.0,0.05,0.0
D,level:hard,60,0.48333333333333334,0.21666666666666667,0.2833333333333333,0.15
D,cell:hard:3,20,0.7,0.4,0.45,0.25
D,cell:hard:5,20,0.35,0.15,0.15,0.1
D,cell:hard:7,20,0.4,0.1,0.25,0.1
